area_sqft,bedrooms,age_years,distance_city_km,price_lakh
849.0,5,33.0,17.6,66.5
2068.0,4,18.0,1.6,120.2
1352.0,3,30.0,9.6,96.7
655.0,3,36.0,5.2,51.2
1062.0,1,32.0,24.0,58.4
1911.0,3,4.0,20.7,103.1
2520.0,2,35.0,1.1,108.3
2560.0,4,27.0,6.2,154.3
1427.0,2,14.0,23.2,72.0
1911.0,5,10.0,21.1,119.1
2332.0,4,22.0,19.8,120.0
2178.0,1,23.0,8.3,101.7
694.0,4,10.0,12.3,72.6
1172.0,3,35.0,22.7,65.9
2491.0,2,1.0,9.6,127.8
2995.0,2,9.0,20.2,143.1
702.0,3,30.0,24.9,43.4
628.0,3,32.0,9.9,45.9
1118.0,1,23.0,2.5,62.8
1569.0,2,14.0,11.2,84.5
1229.0,4,23.0,8.5,84.7
1804.0,1,24.0,10.5,76.6
849.0,1,32.0,20.0,57.8
2117.0,4,32.0,1.3,112.5
1636.0,3,16.0,7.2,112.6
2257.0,3,23.0,3.0,149.6
1854.0,3,39.0,1.1,114.2
2560.0,4,18.0,8.6,146.1
682.0,2,11.0,1.7,63.0
