area_sqft,bedrooms,age_years,distance_city_km
1804.0,1.0,24.0,10.5
849.0,5.0,33.0,17.6
1854.0,3.0,39.0,1.1
1172.0,3.0,35.0,22.7
2995.0,2.0,9.0,20.2
2178.0,1.0,,8.3
628.0,3.0,32.0,9.9
2068.0,4.0,18.0,1.6
1062.0,1.0,32.0,24.0
1911.0,3.0,4.0,20.7
1352.0,3.0,30.0,9.6
1636.0,3.0,16.0,7.2
655.0,3.0,36.0,5.2
2117.0,4.0,32.0,1.3
2257.0,3.0,23.0,3.0
1118.0,1.0,,2.5
682.0,2.0,11.0,1.7
1229.0,4.0,23.0,8.5
2560.0,4.0,27.0,6.2
2332.0,4.0,22.0,19.8
2491.0,2.0,1.0,9.6
1569.0,2.0,14.0,11.2
2520.0,2.0,35.0,1.1
